stage,x_theory,y_theory,section,x_real,y_real,x_theory_ref,y_theory_ref
1,0.9920794750402527,0.9957798031400946,rectifying,0.9920794750402527,0.9957798031400946,0.9920794750402527,0.9957798031400946
2,0.9833417260889515,0.9925031472833568,rectifying,0.9833417260889515,0.9925031472833568,0.9833417260889515,0.9925031472833568
3,0.9706633864594713,0.9877487699223015,rectifying,0.9706633864594713,0.9877487699223015,0.9706633864594713,0.9877487699223015
4,0.9527347768718375,0.980851516184706,stripping,0.9527347768718375,0.980851516184706,0.9527347768718375,0.980851516184706
5,0.9275663871196329,0.95489922725002,stripping,0.9275663871196329,0.95489922725002,0.9275663871196329,0.95489922725002
6,0.8410968658386618,0.8657365107464273,stripping,0.8410968658386618,0.8657365107464273,0.8410968658386618,0.8657365107464273
7,0.6171531110226125,0.6348177635669213,stripping,0.6171531110226125,0.6348177635669213,0.6171531110226125,0.6348177635669213
8,0.30293657319054307,0.3108145810764611,stripping,0.30293657319054307,0.3108145810764611,0.30293657319054307,0.3108145810764611
9,0.10132320169542637,0.1029217233429168,stripping,0.10132320169542637,0.1029217233429168,0.10132320169542637,0.1029217233429168
10,0.02785852656743151,0.027168904263676262,stripping,0.02785852656743151,0.027168904263676262,0.02785852656743151,0.027168904263676262
