stage,type,X,Y
0,start,0.00200000,0.00200000
1,horizontal,0.00360000,0.00200000
1,vertical,0.00360000,0.00333333
2,horizontal,0.00600000,0.00333333
2,vertical,0.00600000,0.00533333
3,horizontal,0.00960000,0.00533333
3,vertical,0.00960000,0.00833333
4,horizontal,0.01500000,0.00833333
4,vertical,0.01500000,0.01283333
5,horizontal,0.02310000,0.01283333
5,vertical,0.02310000,0.01958333
6,horizontal,0.03525000,0.01958333
6,vertical,0.03525000,0.02970833
7,horizontal,0.05347500,0.02970833
7,vertical,0.05347500,0.04489583
